t_mean_x_acc,t_std_deviation_x_acc,t_rms_x_acc,t_skew_x_acc,t_50_q_x_acc,t_kurtosis_x_acc,f_mean_x_acc,f_max_x_acc,f_total_power_x_acc,t_mean_y_acc,t_std_deviation_y_acc,t_rms_y_acc,t_skew_y_acc,t_50_q_y_acc,t_kurtosis_y_acc,f_mean_y_acc,f_max_y_acc,f_total_power_y_acc,t_mean_z_acc,t_std_deviation_z_acc,t_rms_z_acc,t_skew_z_acc,t_50_q_z_acc,t_kurtosis_z_acc,f_mean_z_acc,f_max_z_acc,f_total_power_z_acc,t_mean_x_gyro,t_std_deviation_x_gyro,t_rms_x_gyro,t_skew_x_gyro,t_50_q_x_gyro,t_kurtosis_x_gyro,f_mean_x_gyro,f_max_x_gyro,f_total_power_x_gyro,t_mean_y_gyro,t_std_deviation_y_gyro,t_rms_y_gyro,t_skew_y_gyro,t_50_q_y_gyro,t_kurtosis_y_gyro,f_mean_y_gyro,f_max_y_gyro,f_total_power_y_gyro,t_mean_z_gyro,t_std_deviation_z_gyro,t_rms_z_gyro,t_skew_z_gyro,t_50_q_z_gyro,t_kurtosis_z_gyro,f_mean_z_gyro,f_max_z_gyro,f_total_power_z_gyro,label
-874.0,28.47275319351124,874.4636628667989,0.23276775102466313,-874.0,5.491123293271439,1597.3971368497632,609.3386385796897,5652629274.000001,-41.895348837209305,24.61613626085939,48.5919172147452,-1.1249615266717294,-37.5,2.372518532052432,167.6685297627183,404.59789038572416,15224412.000000004,543.6162790697674,45.29340231348736,545.4999094067667,1.234915607970803,534.0,3.027011656276935,939.9227084154553,46751.0,2193246743.9999995,-3.86046511627907,25.888024882980282,26.174281714228833,2.748170149796405,-10.0,8.61362307646765,63.901269217251446,683.1593752064847,2588604.0,3.488372093023256,21.29894865078999,21.58272349561964,1.389871651024776,2.0,4.9248243582455995,71.98825092472643,670.4017263381759,1767780.0000000005,1.1162790697674418,8.078709608927399,8.155466136707131,1.1685633203349808,0.0,2.692195916773703,15.794186757432652,181.0987489434668,250600.0,BOMB
-808.6511627906976,596.3994635922023,1004.793025083183,-0.4509304689803175,-798.5,-0.876785871426907,2056.2056340477056,27661.005365894012,6151790336.0,-331.72093023255815,666.598544698744,744.5753120731557,0.6613033051077845,-431.5,0.1711150147996352,447.6013106829748,25065.697812013972,2457372232.0,-25.046511627906977,775.3099591262769,775.714419400024,-0.3827334763966507,144.0,-0.10194891462604083,847.3041783248232,18213.718074151202,2228042074.0000005,-98.84883720930233,172.7451757776809,199.0276070601589,0.4054012696509524,-105.5,0.6726344981159653,548.6337362635119,3981.0895516711375,182620878.00000003,21.523255813953487,243.73559476785812,244.684063023472,-0.0644332145043041,7.5,-0.8637284612215144,593.6417914678557,1851.0,223113548.0,-11.546511627906977,181.49659853156737,181.86351258375697,0.5714234829910325,-27.5,-0.15328952488846115,117.92574850566243,3674.357169968819,122802468.0,BOMB
-1048.2325581395348,476.3961287606218,1151.4099041791592,-0.07273843079234556,-1026.0,-0.10965595699757058,1797.6646328805712,16578.278492377223,8965943294.0,-350.7674418604651,658.072779505439,745.7195058434162,0.638986601193827,-371.0,0.08538096699031827,374.0903058524052,29943.798691460885,2511569641.9999995,151.82558139534885,755.0543518378747,770.1675670887141,-0.06586439517739259,277.0,-0.6869808529698203,1005.0685119964407,15433.575880472905,2279548930.0000005,-95.40697674418605,147.82991309995077,175.94366831064042,0.1896647370654949,-94.5,1.21659024111554,652.011968693282,1429.5491583014716,148140558.00000003,4.755813953488372,282.3690450146351,282.40909218514406,-0.14884440570795063,4.5,-1.1751698907495642,621.7583385345675,6563.249962273158,295057856.0000001,-18.848837209302324,212.23486975638187,213.0702198915915,0.04613979410129561,-51.0,-0.487945180998552,158.77221805376365,7187.328746667053,169205181.99999997,BOMB
-938.7906976744187,598.8615384536297,1113.536311163255,-0.3332638444181708,-827.5,-0.7910754743597939,1826.258256106747,14265.94282072311,7845038460.0,238.6860465116279,598.3711856797684,644.2197642506497,0.09918132811750727,188.0,2.377086176781039,477.5388225378056,20527.0,1749615818.0,135.30232558139534,1039.9383486843628,1048.7032413281142,-0.23898692239857985,254.5,-0.7172008412916253,466.2942568558891,42608.08024134216,4135678795.9999995,-2.895348837209302,179.4594615796551,179.4828164347463,-0.2758935333443378,4.0,0.7483766726387384,313.87383197961447,2959.533443163209,119603297.99999999,-20.046511627906977,293.9830681319868,294.6657546725513,0.11114030671654075,-62.0,-1.2059740674312185,626.8169691179852,9603.955971553194,322728040.00000006,-6.127906976744186,262.89217864610134,262.96358842472716,0.3154633583527445,-46.0,-0.9206165729167335,79.79781457779525,11895.553277231527,255871386.00000006,BOMB
-628.7441860465116,757.5786425682156,984.502235224883,0.2829322538135197,-854.0,-0.7921433488081662,2134.242237422477,35068.27253351877,5046166024.000001,142.1046511627907,470.9650910153648,491.9368341944007,1.0193876558260537,167.5,3.362163471240814,600.478037883922,12221.0,970836422.0,-223.38372093023256,765.5988257962345,797.52231870789,0.17317332589713733,-41.5,-0.18444810832622016,698.0537615907851,20186.297808436073,2537863797.9999995,3.7325581395348837,201.4372442190674,201.47182271681865,0.33542086097865675,-3.0,-0.2030101076997335,184.0291003962395,5306.676102477246,150188152.0,12.290697674418604,238.76060143413042,239.07673673218736,0.20311044209951587,2.0,-0.5241716486355741,634.104391647943,3620.278926945081,211929488.0,2.197674418604651,218.85743579758488,218.86846958103442,0.3833003007439398,-22.5,-0.08107874678749472,475.0006236519333,3284.316589140794,177189972.0,BOMB
-823.1279069767442,515.5153167262251,971.2340567665735,0.3595622448427025,-898.5,0.6375806050566899,2119.5046340072777,20396.869403213557,5993860376.0,219.65116279069767,443.96916840997864,495.33347939943803,1.1791142279655966,109.5,2.342952232570867,425.4588207782525,18890.0,1086161148.0,-218.80232558139534,826.3005649977022,854.7789663973657,-0.45171601183994237,60.5,-0.4281481489011969,1131.3707720940265,25106.893500210834,2878979495.9999995,-2.197674418604651,196.91338077813654,196.92564409524113,-0.11726280828757285,16.0,-0.06341744243882452,128.29338899258016,6567.049024826073,143521586.00000003,29.732558139534884,245.74823685371933,247.5403420257647,-0.38919254103818496,19.0,-0.2579542859942676,638.1806788237823,2557.0,229913289.99999997,-12.569767441860465,209.16264622146213,209.54000006659106,0.5872040087105637,-32.5,0.1621010763747397,531.5150168487795,5921.059139524434,162961254.00000003,BOMB
-770.5,531.6564231960161,936.1243519562887,0.2704204649193506,-903.0,0.13834273176202538,2345.5159019578978,18762.572666894084,5436923740.000001,179.1046511627907,640.9724630204167,665.5254874297488,0.8791396321746344,50.5,0.6872338112961431,741.4622558084322,15403.0,1758999642.0000002,-106.62790697674419,853.0680750189574,859.7061423316636,-0.5216476712938727,152.5,-0.5679965592860992,1233.4748741263022,27992.206645261966,2775408670.0,-7.488372093023256,237.84393672508202,237.96179095285103,-0.11258358456655063,4.0,-0.6019690603800139,145.90778923498866,5227.805091857131,209614046.00000003,11.383720930232558,256.19002615721354,256.44281741677065,-0.3243518635720566,24.5,-0.5972449661975658,676.1245143836367,5203.440883162749,243704033.99999997,-41.651162790697676,223.9085552257865,227.74955645426905,0.44489307688244006,-28.0,-0.03090755374509202,577.3681432693061,8180.510350594666,198240764.00000006,BOMB
-811.3488372093024,782.3456793729558,1127.0987967673545,0.4134386075927077,-911.5,-0.8481045162881191,1677.826856293954,11959.218346297908,7132135434.000001,166.03488372093022,500.52722082133164,527.3472114227483,0.04911767503622572,104.0,-0.13451061997841984,198.27382901057507,18242.99347547952,1131413643.9999998,-221.6860465116279,772.598202708598,803.7740267304683,-0.7704048954399644,18.5,-0.29874383765979573,52.521717244328414,31114.504582511418,2570940746.0000005,-30.011627906976745,229.13495029389807,231.09202334960406,-0.02648963378513354,-41.5,-0.5582865372440233,67.7170181673499,3760.9096954866036,200829650.00000003,-22.27906976744186,265.203022324968,266.1371826708925,-0.07816882189552007,-7.5,-0.8185630069890784,221.0139191871594,7829.628988358889,263761562.0,-28.313953488372093,223.84261817687198,225.62623445516837,0.6790899558685647,-76.0,-0.15483018744081622,72.29197280738701,9464.410982650434,191230830.0,BOMB
-852.4302325581396,545.3013577040675,1011.924341091281,0.32461094480056446,-925.5,0.7558092983399423,2112.5618118220564,17676.46417068234,6474067286.0,292.2093023255814,505.30992369360234,583.7160228645752,0.23659387825187247,123.0,1.1313249694950809,547.9867074998309,25130.0,1575762264.0,-162.46511627906978,756.099302843132,773.3570131365215,-0.345599744142937,174.5,-0.8507867802370952,1979.5890629396533,23501.339968087104,2309769156.0,-31.151162790697676,167.42124267442267,170.2946488937937,0.730143961533547,-21.0,1.269509675122655,117.88769408825607,6513.93822125436,110831690.00000003,34.93023255813954,232.67692896382943,235.2842417558062,-0.42306666999734804,9.0,0.23200946691699276,586.4716786980316,3004.0,209243874.00000003,-15.151162790697674,217.4511716076316,217.97836995317186,0.18609585699366504,-22.0,0.518143749597769,610.5461949268908,6349.710711304402,176576408.0,BOMB
-744.7209302325581,619.0244698015485,968.4010316700076,0.11145599334763064,-910.5,-0.862549406543478,2246.181236026085,27632.10314270001,5518987300.0,219.6627906976744,522.3200393429192,566.630360214028,1.022290242235589,88.5,0.8889432219240385,431.6759656772664,18891.0,1366816012.0,-269.8837209302326,658.2324537907289,711.4121070424031,-0.5788928717734084,24.0,-0.6126985915267484,1212.780310889682,19325.367090778953,2141204336.0000005,0.627906976744186,215.68679092457236,215.68770490343584,-0.03438138149437498,4.5,-0.098277056163659,327.66763480283174,6671.16432936721,172084854.0,8.546511627906977,227.11100948075182,227.27176130872945,0.12089623014632742,12.5,-0.34885684778119597,638.1774967484251,1853.741088307196,191371198.0,-40.83720930232558,242.58332830927884,245.99664395517533,0.3491202960569297,-31.5,-0.2389921808436961,667.5108566671377,6958.597871800218,229949262.0,BOMB
-834.1860465116279,513.931189666746,979.791624738126,0.26163977742806616,-903.0,0.2227992097719289,2220.597091144154,15416.831524298292,6123903640.0,189.8953488372093,481.90918832526967,517.9736569578859,0.9232255048495144,70.5,1.858112707356856,790.8000815764178,16331.0,1125791016.0000002,-57.616279069767444,834.966635854874,836.9521602843564,-0.2793590252026671,120.5,-0.032290826630168024,1914.8159558613945,26528.396490469746,2603042738.0,-17.069767441860463,190.04667668378357,190.8117299304992,-0.15537796117871974,-2.0,-0.01426126574652109,424.12549538667514,2807.5748882449025,135989272.0,89.62790697674419,202.65602926620474,221.59112777134544,0.08557292006904843,33.0,-0.1926905644698631,281.3264847506155,7708.0,211299400.0,-33.43023255813954,202.439111758853,205.18083345820742,-0.3539082995396409,-3.5,-0.08169213827268118,641.6160276981152,2665.5935250901703,159875071.99999997,BOMB
-820.6860465116279,533.6704684307232,978.943183138814,0.6392535331231891,-901.0,1.5713413199655335,2140.5544043105338,17157.533595818226,6035576862.0,134.25581395348837,342.57181172292644,367.94030734270183,0.758656095973924,113.5,1.361914188485156,368.28066153285613,11546.0,567531374.0,-176.04651162790697,779.2687822862987,798.9068839998349,-0.6384077606625843,151.0,0.36041554630652284,1702.7314523817092,22048.90945837426,2474868920.0000005,-8.104651162790697,210.16953450531463,210.32574403684197,0.16616370408881315,0.5,-0.18175145751211197,229.2158511229742,6250.892151867449,163860554.0,48.5,257.5542277512799,262.08096121725083,-0.17679789728581555,9.0,-0.4160846107084044,562.626452607483,4171.0,262704320.00000003,-26.91860465116279,187.03458299272438,188.9617593896392,-0.2452658837767726,-14.5,0.21284035314115757,617.5835789645929,3622.34781296056,134725086.00000003,BOMB
-858.3720930232558,430.58167921663204,960.3141322286888,-0.6456446083106565,-882.5,1.1753631039455668,2661.353505265543,9138.27184116312,6135462636.000001,349.25581395348837,548.4815865991227,650.2397053538061,0.4190215765676718,304.0,0.8963918776793314,348.36109424972807,30036.0,2014679118.0000002,8.569767441860465,817.1444969241574,817.1894332206223,0.03712616740109593,90.0,-0.2358524546076466,858.4502727433661,23458.082055213406,2469850900.000001,10.151162790697674,190.06085423516706,190.33174832014927,-0.1578877258056856,23.0,0.6311260579055769,110.7088750423111,4188.414196207738,134500582.0,33.5,242.89210687339215,245.19140601047857,-0.3964999019322068,28.5,-0.03020093548482672,609.9964396721715,4602.356760892832,226490102.00000003,-10.046511627906977,243.98546025001704,244.19221365412602,-0.00765145414933067,-17.0,-0.5330445062684692,633.0273694210749,1722.25771559746,220942186.00000003,BOMB
